*** Multilayered Thin Film Output File Format Version 6.03 ***
*** Modelling Engine Version 6.03 ***
* Description *
One Layer biaxial thin film on slightly absorbing thick substrate plate - dispersion calculations.

*** Begin Options Block ***
,,Using Media Orientation Angles.
,,Solving for layered film on a THICK SUBSTRATE plate.
,100,    Averaging Type: 
,3,    No Of Averaging Points: 
,1,    Averaging Periods: 
,,Rotating all layers simultaneously.
,,Using consecutive rotations.
,AbsoluteAzimuth,Using Absolute Azimuth
*** End Options Block ***

*** Begin Optical Properties Block ***
** Media **
Refraction_Index
,1,,Sqrt[epsFuncT . {{1, 0, 0}, {0, 1, 0}, {0, 0, 1}}],,1
** Begin Detailed Substrate Block **
,Epsilon RE,,,,Epsilon IM,,,,Mu RE,,,,Mu IM,,,,Ro RE,,,,Ro IM,,,,RoT RE,,,,RoT IM,,,
,""^2*"Attributes[eps$181966] = {Temporary}\n \neps$181966 = epsFuncT\n \n                                                                                                 2                                                      2                                                      2\n                                                                                             lamd                                                   lamd                                                   lamd\nepsFuncT[lamd_] := Module[{nVal1, nVal2, nVal3, epsRet}, nVal1 = Sqrt[1 + kCoeffT1 --------------------------]; nVal2 = Sqrt[1 + kCoeffT2 --------------------------]; nVal3 = Sqrt[1 + kCoeffT3 --------------------------]; epsRet = EpsilonFromN[nVal1, nVal2, nVal3]; Return[N[epsRet]]; ]\n                                                                                       2                    2                                 2                    2                                 2                    2\n                                                                                   lamd  - lambdaNullCoeffT1                              lamd  - lambdaNullCoeffT2                              lamd  - lambdaNullCoeffT3\n \nkCoeffT1 = 2.5\n \n                       1\nlambdaNullCoeffT1 = --------\n                    10000000\n \nkCoeffT2 = 2.6\n \n                        9\nlambdaNullCoeffT2 = ---------\n                    100000000\n \nkCoeffT3 = 2.7\n \n                        7\nlambdaNullCoeffT3 = ---------\n                    100000000\n \n                                                   2               2               2\nEpsilonFromN[n1_] := Module[{retval}, retval = {{n1 , 0, 0}, {0, n1 , 0}, {0, 0, n1 }}; Return[retval]; ]\n \n                                                             2               2               2\nEpsilonFromN[n1_, n2_, n3_] := Module[{retval}, retval = {{n1 , 0, 0}, {0, n2 , 0}, {0, 0, n3 }}; Return[retval]; ]",0,0,,,0,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
,0,,0,,0,,0,,0,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
,0,0,,,0,0,,,0,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
** End Detailed Substrate Block **
Thickness
Nothing to ouput so far...
** Media End **

** Film **
n
,N/A,0,0,
,0,N/A,0,
,0,0,N/A,

k
,N/A,0,0,
,0,N/A,0,
,0,0,N/A,

Epsilon_RE
,""^2*"Attributes[eps$181966] = {Temporary}\n \neps$181966 = epsFunc1\n \n                                                                                                 2                                                      2                                                      2\n                                                                                             lamd                                                   lamd                                                   lamd\nepsFunc1[lamd_] := Module[{nVal1, nVal2, nVal3, epsRet}, nVal1 = Sqrt[1 + kCoeff11 --------------------------]; nVal2 = Sqrt[1 + kCoeff12 --------------------------]; nVal3 = Sqrt[1 + kCoeff13 --------------------------]; epsRet = EpsilonFromN[nVal1, nVal2, nVal3]; Return[N[epsRet]]; ]\n                                                                                       2                    2                                 2                    2                                 2                    2\n                                                                                   lamd  - lambdaNullCoeff11                              lamd  - lambdaNullCoeff12                              lamd  - lambdaNullCoeff13\n \nkCoeff11 = 2.5\n \n                       1\nlambdaNullCoeff11 = --------\n                    10000000\n \nkCoeff12 = 2.4\n \n                       3\nlambdaNullCoeff12 = --------\n                    25000000\n \nkCoeff13 = 2.3\n \n                       7\nlambdaNullCoeff13 = --------\n                    50000000\n \n                                                   2               2               2\nEpsilonFromN[n1_] := Module[{retval}, retval = {{n1 , 0, 0}, {0, n1 , 0}, {0, 0, n1 }}; Return[retval]; ]\n \n                                                             2               2               2\nEpsilonFromN[n1_, n2_, n3_] := Module[{retval}, retval = {{n1 , 0, 0}, {0, n2 , 0}, {0, 0, n3 }}; Return[retval]; ]",0,0,
,0,N/A,0,
,0,0,N/A,

Epsilon_IM
,N/A,0,0,
,0,N/A,0,
,0,0,N/A,
** Film End **
*** End Optical Properties Block ***

*** Begin Output Block ***
Input,No,lambda,phita,beta,gamma,e,phi_2,theta_2,psi_2,phi_1,theta_1,psi_1,h,Output,"Layer 1: Re[Eps[x,x]]","Layer 1: Re[Eps[y,y]]","Layer 1: Re[Eps[z,z]]","S_R,0","S_R,1","S_R,2","S_R,3",R,T,gamma_R,° gamma_  R,chi_R,° chi_  R,p_R,chi_r,e_r,psi_pp,DELTA_pp,R_p,R_s,T_p,T_s
,11.,600.,60.,0.,0.,0.,0.,0.,0.,0.,0.,0.,75.,,3.571428571428571,3.5,3.4324324324324325,0.0749909643892657,0.0749909643892657,0.,0.,0.07499096438926565,0.48946877374244196,0.,0.,0.,0.,1.,0.,0.,4.147229100212083,-179.43471922874284,0.07499096438926565,0.,0.48946877374244196,0.
,12.,600.,60.,0.,0.,0.25,0.,0.,0.,0.,0.,0.,75.,,3.571428571428571,3.5,3.4324324324324325,0.09042158473775845,0.05073787764203578,0.012499480707757617,-0.037579354262966366,0.09042158473775844,0.4811066632333159,-0.3117332770926772,-17.86100111119263,-0.6248459208346555,-35.80103410979132,0.7118257098270214,88.50353316315316,-0.28886728631388886,4.147229100212083,-179.43471922874284,0.07057973118989706,0.01984185354786136,0.46067649293406293,0.020430170299252957
,13.,600.,60.,0.,0.,0.5,0.,0.,0.,0.,0.,0.,75.,,3.571428571428571,3.5,3.4324324324324325,0.12745507357414113,-0.0074695305513160695,0.02124911720318796,-0.06388490224704275,0.12745507357414113,0.4610375980114136,-0.615918019089034,-35.28950301985972,-0.6248459208346552,-35.801034109791296,0.5314751383159318,89.29949012039256,-0.14450283370590733,4.147229100212083,-179.43471922874284,0.059992771511412475,0.06746230206272864,0.3915750189939536,0.06946257901745999
,14.,600.,60.,0.,0.,0.75,0.,0.,0.,0.,0.,0.,75.,,3.571428571428571,3.5,3.4324324324324325,0.1694263609220416,-0.07343792650378148,0.02549894064382554,-0.07666188269645145,0.1694263609220416,0.43829265742659085,-0.3892116444877818,-22.300184566496128,-0.6248459208346556,-35.801034109791324,0.6444123752862033,89.53844915448775,-0.09634312916453074,4.147229100212083,-179.43471922874284,0.047994217209130004,0.1214321437129116,0.3132600151951628,0.12503264223142815
,15.,600.,60.,0.,0.,1.,0.,0.,0.,0.,0.,0.,75.,,3.571428571428571,3.5,3.4324324324324325,0.20615123735145435,-0.1311602729621887,0.026561396503984896,-0.07985612780880356,0.2061512373514544,0.418390834414871,-0.2690060462439847,-15.412911113281377,-0.6248459208346557,-35.801034109791324,0.7559408462884266,89.65524671228762,-0.07225938992979433,4.147229100212083,-179.43471922874284,0.037495482194632834,0.16865575515682163,0.24473438687122087,0.17365644754365012
,16.,700.,60.,0.,0.,0.,0.,0.,0.,0.,0.,0.,75.,,3.552083333333333,3.472666105971404,3.3958333333333335,0.0741734726628065,0.0741734726628065,0.,0.,0.0741734726628065,0.4912335804969473,0.,0.,0.,0.,1.,0.,0.,3.9913188335521874,-179.0527303624019,0.0741734726628065,0.,0.4912335804969473,0.
,17.,700.,60.,0.,0.,0.25,0.,0.,0.,0.,0.,0.,75.,,3.552083333333333,3.472666105971404,3.3958333333333335,0.08966821028135355,0.049952444142752406,-0.028176925503758606,-0.015406541081209637,0.08966821028135363,0.48280925807390185,-0.131219095781535,-7.51830037980486,-1.3206130087087622,-75.66555176908551,0.6622719418646053,87.42992094610736,-0.2754867329239011,3.9913188335521874,-179.0527303624019,0.06981032721205302,0.019857883069300593,0.46233748752653864,0.020471770547363252
,18.,700.,60.,0.,0.,0.5,0.,0.,0.,0.,0.,0.,75.,,3.552083333333333,3.472666105971404,3.3958333333333335,0.126855580565867,-0.008178024305376806,-0.047900773356389696,-0.026191119838056373,0.12685558056586707,0.46259088425859296,-0.2471715720754205,-14.161887895535228,-1.3206130087087626,-75.66555176908552,0.4351618381230989,88.78899520245999,-0.13793932271821052,3.9913188335521874,-179.0527303624019,0.059338778130245136,0.06751680243562196,0.39298686439755803,0.06960401986103504
,19.,700.,60.,0.,0.,0.75,0.,0.,0.,0.,0.,0.,75.,,3.552083333333333,3.472666105971404,3.3958333333333335,0.16900126688831565,-0.07405922187992348,-0.057480928027667647,-0.031429343805667746,0.1690012668883157,0.4396767272679095,-0.16173766514355878,-9.266885601026084,-1.320613008708762,-75.6655517690855,0.585065661209833,89.20120529270356,-0.09198213029420456,3.9913188335521874,-179.0527303624019,0.04747102250419609,0.12153024438411965,0.31438949151804646,0.1252872357498632
,20.,700.,60.,0.,0.,1.,0.,0.,0.,0.,0.,0.,75.,,3.552083333333333,3.472666105971404,3.3958333333333335,0.2058787424204581,-0.13170526975765165,-0.059875966695487115,-0.032738899797570595,0.20587874242045826,0.41962683990106137,-0.11127084307689278,-6.375349691168431,-1.3206130087087617,-75.66555176908548,0.7204964756789216,89.40311527424285,-0.06899244236973885,3.9913188335521874,-179.0527303624019,0.03708673633140321,0.16879200608905504,0.24561679024847363,0.17401004965258768
,21.,800.,60.,0.,0.,0.,0.,0.,0.,0.,0.,0.,75.,,3.5396825396825395,3.4552429667519178,3.372662798194713,0.07351714010484436,0.07351714010484436,0.,0.,0.07351714010484436,0.49244216545866476,0.,0.,0.,0.,1.,0.,0.,3.812292551927721,-178.8425423667402,0.07351714010484436,0.,0.49244216545866476,0.
,22.,800.,60.,0.,0.,0.25,0.,0.,0.,0.,0.,0.,75.,,3.5396825396825395,3.4552429667519178,3.372662798194713,0.08915517775578868,0.049230027147447675,0.02425167937046892,-0.028717775746033833,0.08915517775578871,0.4839239555875325,-0.2410526086817918,-13.811297118085257,-0.4347568884129719,-24.90973482030337,0.6947334512736778,86.83946179733283,-0.2607876452305794,3.812292551927721,-178.8425423667402,0.0691926024516182,0.01996257530417052,0.46347497925521364,0.02044897633231882
,23.,800.,60.,0.,0.,0.5,0.,0.,0.,0.,0.,0.,75.,,3.5396825396825395,3.4552429667519178,3.372662798194713,0.1266864681180552,-0.009059043950304236,0.041227854929797234,-0.04882021876825756,0.12668646811805526,0.4634802518968157,-0.428935086410026,-24.57617013637376,-0.4347568884129717,-24.909734820303363,0.5094347175854528,88.50073259144608,-0.13067629070263154,3.812292551927721,-178.8425423667402,0.05881371208387548,0.06787275603417978,0.39395373236693154,0.06952651952988398
,24.,800.,60.,0.,0.,0.75,0.,0.,0.,0.,0.,0.,75.,,3.5396825396825395,3.4552429667519178,3.372662798194713,0.16922193052862394,-0.07511999119442316,0.049473425915756646,-0.0585842625219091,0.169221930528624,0.44031072104733626,-0.2886488297052482,-16.538359703501147,-0.43475688841297194,-24.909734820303374,0.6343389823632787,89.00991928389445,-0.08715035481268266,3.812292551927721,-178.8425423667402,0.04705096966710039,0.12217096086152361,0.3151629858935451,0.1251477351537912
,25.,800.,60.,0.,0.,1.,0.,0.,0.,0.,0.,0.,75.,,3.5396825396825395,3.4552429667519178,3.372662798194713,0.2064404601378714,-0.13292332003302706,0.05153481866224655,-0.06102527346032196,0.2064404601378716,0.4200373815540421,-0.2022280372817601,-11.586813035459118,-0.43475688841297166,-24.90973482030336,0.7511894049290088,89.25988531846968,-0.06537127682846045,3.812292551927721,-178.8425423667402,0.03675857005242219,0.16968189008544937,0.24622108272933224,0.17381629882470992
*** End Output Block ***

